words,pos,dfns
date,noun, a person with whom one has such a social appointment or engagement:
date,noun, an engagement for an entertainer to perform.
date,noun," dates, the birth and death dates, usually in years, of a person:"
date,noun, to have or bear a date:
date,noun, to belong to a particular period; have its origin:
date,noun, to reckon from some point in time:
date,noun, to go out socially on dates:
date,noun, to mark or furnish with a date:
date,noun, to ascertain or fix the period or point in time of; assign a period or point in time to:
date,noun, to show the age of; show to be old-fashioned.
date,noun, to make a date with; go out on dates with:
date,noun," the oblong, fleshy fruit of the date palm, a staple food in northern Africa, Arabia, etc., and an important export."
daughter,noun, a female child or person in relation to her parents.
daughter,noun, any female descendant.
daughter,noun, a person related as if by the ties binding daughter to parent:
daughter,noun, anything personified as female and considered with respect to its origin:
daughter,noun," Chemistry, Physics. an isotope formed by radioactive decay of another isotope."
daughter,noun, Biology. pertaining to a cell or other structure arising from division or replication:
day,noun, the interval of light between two successive nights; the time between sunrise and sunset:
day,noun, the light of day; daylight:
day,noun, Astronomy. 
day,noun, an analogous division of time for a planet other than the earth:
day,noun, the portion of a day allotted to work:
day,noun, a day on which something occurs:
day,noun, (often initial capital letter) a day assigned to a particular purpose or observance:
day,noun, a time considered as propitious or opportune:
day,noun, a day of contest or the contest itself:
day,noun, Often . a particular time or period:
day,noun, Usually . period of life or activity:
day,noun," period of existence, power, or influence:"
day,noun, Architecture. light 1( def 19a ).
Day,noun," Benjamin Henry, 1810–89, U.S. newspaper publisher."
Day,noun," Clar·ence (Shep·ard) [klar, -, uh, ns , shep, -erd], 1874–1935, U.S. author."
Day,noun," Dorothy, 1897–1980, U.S. Roman Catholic social activist, journalist, and publisher."
Day,noun," Also Daye. Stephen, 1594?–1668, U.S. colonist, born in England: considered the first printer in the Colonies."
dead,adjective, no longer living; deprived of life:
dead,adjective, brain-dead.
dead,adjective, not endowed with life; inanimate:
dead,adjective, resembling death; deathlike:
dead,adjective, bereft of sensation; numb:
dead,adjective, lacking sensitivity of feeling; insensitive:
dead,adjective, incapable of being emotionally moved; unresponsive:
dead,adjective, (of an emotion) no longer felt; ended; extinguished: dead affections.
dead,adjective," no longer current or prevalent, as in effect, significance, or practice; obsolete:"
dead,adjective," no longer functioning, operating, or productive:"
dead,adjective, not moving or circulating; stagnant; stale:
dead,adjective, utterly tired; exhausted:
dead,adjective, (of a language) no longer in use as a sole means of oral communication among a people:
dead,adjective," without vitality, spirit, enthusiasm, or the like:"
dead,adjective, lacking the customary activity; dull; inactive:
dead,adjective, complete; absolute:
dead,adjective," sudden or abrupt, as the complete stoppage of an action:"
dead,adjective, put out; extinguished:
dead,adjective, without resilience or bounce:
dead,adjective, infertile; barren:
dead,adjective, exact:
dead,adjective, accurate; sure; unerring:
dead,adjective, direct; straight:
dead,adjective," tasteless or flat, as a beverage:"
dead,adjective," flat rather than glossy, bright, or brilliant:"
dead,adjective, without resonance; anechoic:
dead,adjective, not fruitful; unproductive:
dead,adjective," Law. deprived of civil rights so that one is in the state of civil death, especially deprived of the rights of property."
dead,adjective, Sports. out of play:
dead,adjective, (of a golf ball) lying so close to the hole as to make holing on the next stroke a virtual certainty.
dead,adjective, (of type or copy) having been used or rejected.
dead,adjective, Electricity. 
dead,adjective, Metallurgy. (of steel)
dead,adjective, (of the mouth of a horse) no longer sensitive to the pressure of a bit.
dead,adjective, noting any rope in a tackle that does not pass over a pulley or is not rove through a block.
dead,adjective," the period of greatest darkness, coldness, etc.:"
dead,adjective," the dead, dead persons collectively:"
dead,adjective, absolutely; completely:
dead,adjective," with sudden and total stoppage of motion, action, or the like:"
dead,adjective, directly; exactly; straight:
deal,noun, a business transaction:
deal,noun, a bargain or arrangement for mutual advantage:
deal,noun, a secret or underhanded agreement or bargain:
deal,noun, Informal. treatment received in an interaction or arrangement with another:
deal,noun," an indefinite but large quantity, amount, extent, or degree (usually preceded by good or great ):"
deal,noun, Cards. 
deal,noun, an act of handing out or distributing.
deal,noun, (initial capital letter) an economic and social policy pursued by a political administration:
deal,noun, Obsolete. portion; share.
deal,noun, to occupy oneself or itself (usually followed by with or in ):
deal,noun, to take action with respect to a thing or person (followed by with ):
deal,noun, to conduct oneself toward persons:
deal,noun, to be able to handle competently or successfully; cope (followed by with ):
deal,noun, to trade or do business (followed by with or in ):
deal,noun," to distribute, especially the cards in a game (often followed by out ): It's your turn to deal."
deal,noun, Slang. to buy and sell drugs illegally.
deal,noun," Archaic. to have dealings or commerce, often in a secret or underhanded manner (often followed by with ):"
deal,noun, to give to one as a share; apportion:
deal,noun," to distribute among a number of recipients, as the cards required in a game:"
deal,noun, Cards. to give a player (a specific card) in dealing:
deal,noun, to deliver (an action or a judgment) on or upon someone; administer: Did you see the cat dealing a blow to a dog five times its size?
deal,noun, Slang. to buy and sell (drugs) illegally.
deal,noun, Slang. to trade (an athlete) to another team.
deal,noun, 
deal,noun," a board or plank, especially of fir or pine, cut to any of various standard sizes."
